"id","experiment_id","sample_name_short","met_id","slope","intercept","r2","rate","rate_units","p_value","std_err","used_","comment_"
75,"ALEsKOs01","OxicEvo04pgiEcoliGlc_Broth-1","biomass","0.169431669630606","-2993065.05515192","0.988602807221219","0.169431669630606","hr-1","4.68171474080984e-010","0.00606403030843838",True,NULL
76,"ALEsKOs01","OxicEvo04pgiEcoliGlc_Broth-2","biomass","0.18681373026411","-3300124.25770465","0.998050790150735","0.18681373026411","hr-1","5.69938395193409e-008","0.00369212815789902",True,NULL
77,"ALEsKOs01","OxicEvo04pgiEcoliGlc_Broth-3","biomass","0.16621234321154","-2936194.72907508","0.996168166167553","0.16621234321154","hr-1","3.09022983422735e-007","0.004610152313397",True,NULL
78,"ALEsKOs01","OxicEvo04ptsHIcrrEcoliGlc_Broth-1","biomass","0.183147171163235","-3235487.63768025","0.914148920683735","0.183147171163235","hr-1","4.27053048329221e-006","0.0187086893885128",True,NULL
79,"ALEsKOs01","OxicEvo04ptsHIcrrEcoliGlc_Broth-2","biomass","0.196312164496289","-3468060.95019645","0.937267827324756","0.196312164496289","hr-1","1.03025266152605e-006","0.0169293103488707",True,NULL
80,"ALEsKOs01","OxicEvo04ptsHIcrrEcoliGlc_Broth-3","biomass","0.200345432583139","-3539312.78249","0.921607783593498","0.200345432583139","hr-1","1.06670360294196e-005","0.0206584558926989",True,NULL
84,"ALEsKOs01","OxicEvo04tpiAEcoliGlc_Broth-1","biomass","0.184935290427723","-3267277.75480435","0.993138369221601","0.184935290427723","hr-1","0.0527948683494355","0.0153719366424763",True,NULL
85,"ALEsKOs01","OxicEvo04tpiAEcoliGlc_Broth-2","biomass","0.185607461732788","-3279153.07541495","0.999152552949408","0.185607461732788","hr-1","0.018535220998828","0.00540549931535923",True,NULL
86,"ALEsKOs01","OxicEvo04tpiAEcoliGlc_Broth-3","biomass","0.183234390247572","-3237227.64484722","0.945516723329937","0.183234390247572","hr-1","0.00113401949553674","0.0219924692598044",True,NULL
87,"ALEsKOs01","OxicEvo04pgiEvo01J01EcoliGlc_Broth-1","biomass","0.379405117113026","-6703006.04173015","0.983976823249619","0.379405117113026","hr-1","0.000864992718889978","0.0279527431413842",True,NULL
